Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Naja naja,"Indian Cobra, Indian Spectacled Cobra, Cobra de anteojos, Cobra à lunettes, Cobra des Indes, Cobra indien, Naja à lunettes, Naja indien, Serpent à lunetes",Individual - Live,2,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Hystrix indica,Indian Crested Porcupine,Other (See Description Notes),30,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Pavo cristatus,"Common Peafowl, Indian Peafowl, Peafowl",Feathers,,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Eryx johnii,"Blunt-tailed Sand Boa, Brown Sand Boa, Indian Sand Boa, Boa de arena de la India, Boa des sables brun",Individual - Live,1,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Python molurus,"Asiatic Rock Python, Burmese Python, Tiger Python, Python molure, Python tigre",Individual - Live,2,,,,,
MOR14725,1. Seizure,Taiwan Province of China,1/16/2018 0:00,"69 live Chinese box turtles seized from a boat, along with 420kg of illegal drugs",Cuora flavomarginata,"Chinese Box Turtle, Yellow-margined Box Turtle, Tortue-boîte à bord jaune",Individual - Live,69,,,,,
MOR14727,1. Seizure,Turkey,1/27/2018 0:00,200 furs seized from a couple at Istanbul Ataturk Airport,Mustelidae,,Skin,200,,,,,
MOR14729,1. Seizure,Peru,1/1/2018 0:00,"581 saffron finches seized in Peru, only 100 survive",Sicalis,,Individual - Live,100,,,,,
MOR14729,1. Seizure,Peru,1/1/2018 0:00,"581 saffron finches seized in Peru, only 100 survive",Sicalis,,Individual - Dead,481,,,,,
MOR14730,1. Seizure,Russian Federation,2/8/2018 0:00,14 mammoth tusks and 650 tusk fragments seized in Vladivostok,Mammuthus,,Tusk,14,,,,,
MOR14730,1. Seizure,Russian Federation,2/8/2018 0:00,14 mammoth tusks and 650 tusk fragments seized in Vladivostok,Mammuthus,,Ivory Pieces - Raw,650,,,,,
MOR14731,1. Seizure,Malaysia,2/9/2018 0:00,23kg of birds nest seized at  Bukit Kayu Hitam-Changlun expressway,Aves,,Nest,,23,Kilograms,,,
MOR14732,1. Seizure,Turkey,2/9/2018 0:00,"977 Chinchilla furs seized at Atatürk Airport, Istanbul",Chinchilla,,Skin,977,,,,,
MOR14733,1. Seizure,Mozambique,2/12/2018 0:00,8 tonnes of fish and prawns seized in Sofala,Actinopterygii,,Individual - Dead,,,,,,
MOR14733,1. Seizure,Mozambique,2/12/2018 0:00,8 tonnes of fish and prawns seized in Sofala,Decapoda,,Individual - Dead,,,,,,
MOR14735,1. Seizure,Pakistan,2/22/2018 0:00,151 live turtles and tortoises seized in Liaquatabad,Testudines,,Individual - Live,142,,,,,
MOR14735,1. Seizure,Pakistan,2/22/2018 0:00,151 live turtles and tortoises seized in Liaquatabad,Cheloniidae,"Marine Turtles, Sea turtles, Tortugas Marinas, Tortues Marines",Individual - Live,9,,,,,
MOR14739,1. Seizure,Indonesia,3/25/2018 0:00,90kg of shark fins seized at Soekarno-Hatta International Airport,Carcharhinus limbatus,Blacktip shark,Fins,,90,Kilograms,,,
MOR14740,1. Seizure,India,4/24/2018 0:00,Over 100 live birds seized from a pet shop in Mumbra,Lonchura punctulata,,Individual - Live,100,,,,,
MOR14740,1. Seizure,India,4/24/2018 0:00,Over 100 live birds seized from a pet shop in Mumbra,Porphyrio porphyrio,,Individual - Live,100,,,,,
MOR14740,1. Seizure,India,4/24/2018 0:00,Over 100 live birds seized from a pet shop in Mumbra,Streptopelia decaocto,Eurasian Collared-Dove,Individual - Live,100,,,,,
MOR14740,1. Seizure,India,4/24/2018 0:00,Over 100 live birds seized from a pet shop in Mumbra,Psittacula cyanocephala,"Plum-headed Parakeet, Cotorra ciruela, Perruche à tête prune",Individual - Live,100,,,,,
MOR14740,1. Seizure,India,4/24/2018 0:00,Over 100 live birds seized from a pet shop in Mumbra,Tadorna ferruginea,Ruddy Shelduck,Individual - Live,100,,,,,
MOR14741,1. Seizure,Kenya,4/25/2018 0:00,8kg of ivory seized in Muhaka,Elephantidae,Elephants,Tusk,,8,Kilograms,,,
MOR14742,1. Seizure,India,5/5/2018 0:00,"50 live Black Pond Turtles seized in Kalyan, one 24-year-old man arrested",Geoclemys hamiltonii,"Black Pond Turtle, Black Spotted Turtle, Hamilton's Terrapin, Spotted Pond Turtle, Galápago de Hamilton, Galápago rayado, émyde en toit, Géoclemmyde d'Hamilton, Tortue de Hamilton",Individual - Live,46,,,,,
MOR14742,1. Seizure,India,5/5/2018 0:00,"50 live Black Pond Turtles seized in Kalyan, one 24-year-old man arrested",Geoclemys hamiltonii,"Black Pond Turtle, Black Spotted Turtle, Hamilton's Terrapin, Spotted Pond Turtle, Galápago de Hamilton, Galápago rayado, émyde en toit, Géoclemmyde d'Hamilton, Tortue de Hamilton",Individual - Dead,4,,,,,
MOR14743,1. Seizure,India,5/7/2018 0:00,478 turtles and tortoises seized in Madurai,Pangshura tecta,"Dura Turtle, Indian Pond Turtle, Indian Roofed Turtle, Indian Sawback Turtle, Tent Turtle, Galápago cubierto de la India, Tortuga india de visera, Émyde tricarénée, Kachuga à dos en toit",Individual - Live,11,,,,,
MOR14743,1. Seizure,India,5/7/2018 0:00,478 turtles and tortoises seized in Madurai,Geochelone elegans,"Indian Star Tortoise, Star Tortoise, Tortuga estrellada de la India, Tortue étoilée de l'Inde",Individual - Live,468,,,,,
MOR14807,1. Seizure,Brazil,12/1/2017 0:00,444 containers of illegal timber seized in Manaus,Plantae,,Roundwood,,,,,,
MOR14819,1. Seizure,Brazil,1/1/2018 0:00,"278 birds seized from city fair in Pacajus, three people arrested",Aves,,Individual - Live,278,,,,,
MOR14821,1. Seizure,Brazil,1/17/2018 0:00,"86 birds seized in Espinosa, two men arrested",Turdus,,Individual - Live,,,,,,
MOR14821,1. Seizure,Brazil,1/17/2018 0:00,"86 birds seized in Espinosa, two men arrested",Sicalis flaveola,Saffron Finch,Individual - Live,,,,,,
MOR14821,1. Seizure,Brazil,1/17/2018 0:00,"86 birds seized in Espinosa, two men arrested",Sporophila caerulescens,Double-collared Seedeater,Individual - Live,,,,,,
MOR14821,1. Seizure,Brazil,1/17/2018 0:00,"86 birds seized in Espinosa, two men arrested",Saltator similis,Green-winged Saltator,Individual - Live,,,,,,
MOR14822,1. Seizure,Brazil,1/21/2018 0:00,"Five birds seized in Jaboticabal, wild bird breeder fined",Sporophila caerulescens,Double-collared Seedeater,Individual - Live,1,,,,,
MOR14822,1. Seizure,Brazil,1/21/2018 0:00,"Five birds seized in Jaboticabal, wild bird breeder fined",Saltator similis,Green-winged Saltator,Individual - Live,1,,,,,
MOR14822,1. Seizure,Brazil,1/21/2018 0:00,"Five birds seized in Jaboticabal, wild bird breeder fined",Sporophila lineola,Lined Seedeater,Individual - Live,1,,,,,
MOR14823,1. Seizure,Brazil,1/24/2018 0:00,"47 wild birds seized in Cohab, bird trader fined",Aves,,Individual - Live,47,,,,,
MOR14824,1. Seizure,Brazil,1/24/2018 0:00,"79 birds seized om the highway in Cariri do Tocantins, two people arrested",Psittacidae,"Amazons, Macaws, Parakeets, Parrots, Amazonas, Cotorras, Guacamayos, Periquitos, Loros, Amazones, Aras, Perruches, Perroquets",Individual - Live,5,,,,,
MOR14824,1. Seizure,Brazil,1/24/2018 0:00,"79 birds seized om the highway in Cariri do Tocantins, two people arrested",Guarouba guarouba,"Golden Conure, Golden Parakeet, Queen of Bavaria's Conure, Aratinga guaruba, Cacatúa dorada, Cotorra amarilla, Conure de la Reine de Bavière, Conure dorée, Guarouba, Perruche dorée",Individual - Live,10,,,,,
MOR14824,1. Seizure,Brazil,1/24/2018 0:00,"79 birds seized om the highway in Cariri do Tocantins, two people arrested",Ara chloropterus,"Green-winged Macaw, Red-and-green Macaw, Guacamayo aliverde, Guacamayo rojo, Ara chloroptère",Individual - Live,22,,,,,
MOR14824,1. Seizure,Brazil,1/24/2018 0:00,"79 birds seized om the highway in Cariri do Tocantins, two people arrested",Sporophila caerulescens,Double-collared Seedeater,Individual - Live,1,,,,,
MOR14824,1. Seizure,Brazil,1/24/2018 0:00,"79 birds seized om the highway in Cariri do Tocantins, two people arrested",Oryzoborus angolensis,"Chestnut-bellied Seed Finch, Lesser Seed Finch",Individual - Live,42,,,,,
MOR14840,1. Seizure,Philippines,1/30/2018 0:00,"30 kilos chopped thresher shark at Bulua market, Cagayan De Oro",Alopias,,Meat,,30,Kilograms,,,
